ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4081,0,0.0,0,0.0,47,1580.833333,0.0,0.004255319,3.663617021,0.8,May,2,5,3,2,Returning_Visitor,0,1
8956,0,0.0,0,0.0,12,810.0,0.0,0.016666667,0.0,0.0,Mar,2,2,6,10,Returning_Visitor,0,0
6898,4,61.25,0,0.0,21,595.75,0.038095238,0.076190476,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,0,0
11769,6,192.5,0,0.0,14,327.0,0.0,0.00625,0.0,0.0,Mar,1,1,1,9,Returning_Visitor,1,0
5566,1,0.0,1,60.0,43,1131.808333,0.028787879,0.047348485,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,0,0
7532,1,0.0,0,0.0,60,1995.416667,0.0,0.003389831,61.58171224,0.0,Nov,2,4,1,7,New_Visitor,0,1
5014,0,0.0,0,0.0,41,2997.083333,0.004878049,0.021138211,36.8670177,0.0,Dec,2,2,1,2,Returning_Visitor,1,0
4027,0,0.0,0,0.0,12,429.0,0.0,0.016666667,0.0,0.0,Nov,1,1,3,8,Returning_Visitor,0,0
8482,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,1,1,4,1,Returning_Visitor,0,0
5946,0,0.0,0,0.0,12,680.5,0.0,0.018181818,42.422531,0.0,Dec,2,2,6,10,Returning_Visitor,0,1
12313,0,0.0,0,0.0,12,166.0,0.028571429,0.071428571,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,1,0
5786,3,151.0,0,0.0,21,840.2863203,0.0,0.010763889,0.0,0.0,Oct,2,2,3,2,Returning_Visitor,0,0
7120,0,0.0,0,0.0,23,480.9166667,0.017391304,0.032608696,0.0,0.0,Dec,4,2,1,2,Returning_Visitor,0,0
8460,7,186.9761905,2,40.0,35,1276.157071,0.0,0.008681765,0.0,0.0,Mar,1,1,6,2,Returning_Visitor,0,0
7461,3,187.0,2,41.0,48,1769.697383,0.000606061,0.011616162,16.71534488,0.0,Mar,2,2,3,2,Returning_Visitor,0,0
9440,0,0.0,0,0.0,8,181.0,0.025,0.070833333,0.0,0.0,Nov,2,2,4,13,Returning_Visitor,0,0
3984,0,0.0,0,0.0,16,142.5,0.0375,0.08125,0.0,0.0,May,2,2,1,4,Returning_Visitor,0,0
5967,5,333.0,2,166.0,12,151.9,0.031111111,0.064444444,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,0,0
4123,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Jul,1,1,1,1,Returning_Visitor,0,0
10633,0,0.0,0,0.0,9,396.1666667,0.0,0.022222222,0.0,0.0,Nov,3,2,8,13,Other,0,0
7580,3,40.55,0,0.0,10,151.0818182,0.008333333,0.038888889,0.0,0.0,Jul,2,2,1,5,New_Visitor,0,0
4082,0,0.0,0,0.0,5,134.0,0.02,0.026666667,0.0,0.0,May,1,2,2,2,Returning_Visitor,1,0
6770,0,0.0,0,0.0,10,249.0,0.04,0.064,0.0,0.0,Nov,1,1,8,3,Returning_Visitor,0,0
8155,0,0.0,0,0.0,89,5044.75689,0.002528736,0.008376076,0.0,0.8,May,1,1,6,6,Returning_Visitor,0,0
9913,0,0.0,0,0.0,10,611.0,0.02,0.06,0.0,0.8,May,2,4,3,1,Returning_Visitor,0,0
10525,0,0.0,2,7.0,18,598.8738095,0.003333333,0.025555556,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,0,0
3897,0,0.0,0,0.0,2,115.0,0.0,0.05,0.0,0.0,Mar,3,3,1,9,Returning_Visitor,1,0
7494,6,111.0,0,0.0,12,202.25,0.025,0.029166667,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,1,0
9625,0,0.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,0,0
10196,6,143.5,2,303.0,67,2199.976786,0.008333333,0.027665354,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,1,0
10361,0,0.0,1,0.0,16,222.0,0.025,0.03125,0.0,0.0,Mar,1,2,1,2,Returning_Visitor,0,0
8869,8,822.6666667,3,225.3333333,45,1896.966667,0.011764706,0.02745098,7.521155028,0.0,Dec,1,1,3,1,Returning_Visitor,0,0
4098,14,337.58,0,0.0,29,443.5,0.0,0.027027027,0.0,0.0,Oct,2,2,1,3,Returning_Visitor,0,0
5638,3,98.1,2,28.2,130,4994.848002,0.019799499,0.036825949,0.0,0.0,Sep,2,2,4,1,Returning_Visitor,1,0
4860,0,0.0,0,0.0,12,162.0,0.05,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0
4911,0,0.0,0,0.0,9,58.0,0.155555556,0.177777778,0.0,0.0,May,1,1,1,3,Returning_Visitor,1,0
9361,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,6,7,3,15,Returning_Visitor,0,0
5840,0,0.0,0,0.0,10,246.9333333,0.006666667,0.01,0.0,0.4,May,1,1,8,2,Returning_Visitor,0,0
8767,4,53.4,0,0.0,4,53.4,0.0,0.025,0.0,0.0,Oct,1,1,7,5,New_Visitor,0,0
8369,1,30.0,1,0.0,38,821.1666667,0.021052632,0.049475963,0.0,0.8,May,3,2,3,4,Returning_Visitor,0,0
3914,0,0.0,0,0.0,17,697.5166667,0.0,0.017647059,0.0,0.8,May,2,2,1,2,Returning_Visitor,0,0
8204,2,54.5,0,0.0,5,66.5,0.0,0.028571429,0.0,0.0,Dec,8,13,9,20,Other,0,0
4675,1,0.0,3,92.5,9,359.1666667,0.0,0.018181818,58.16727273,0.0,May,1,1,1,5,New_Visitor,0,1
5238,5,30.0,1,4.0,107,4376.902655,0.007272727,0.021707552,0.0,0.0,Oct,2,2,2,4,Returning_Visitor,0,0
5524,1,103.0,0,0.0,20,1140.666667,0.0,0.005,19.18108767,0.0,Dec,3,2,3,2,New_Visitor,0,1
5466,4,353.4,2,0.0,11,587.2,0.013333333,0.04,0.0,0.0,Jul,2,5,2,3,Returning_Visitor,1,0
9749,0,0.0,0,0.0,3,35.4,0.0,0.066666667,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,0,0
4314,3,86.0,0,0.0,27,3188.483333,0.017241379,0.031034483,0.0,0.0,Dec,2,5,4,2,Returning_Visitor,0,0
