iter	Logloss
0	0.5909128264
1	0.5137799547
2	0.4496074024
3	0.4045796567
4	0.3659681129
5	0.3354632244
6	0.3162461767
7	0.3016136944
8	0.2891202226
9	0.2803093384
10	0.2690456278
11	0.2610694324
12	0.2566129111
13	0.2504135383
14	0.2458286506
15	0.2429326695
16	0.2382163763
17	0.2358949824
18	0.2340411107
19	0.232949629
20	0.2313582045
21	0.2303902024
22	0.2291239421
23	0.2273649725
24	0.2262472713
25	0.223840566
26	0.2229265615
27	0.2221336465
28	0.2208905222
29	0.2202473908
30	0.2197437161
31	0.2192438503
32	0.2188060371
33	0.2181980122
34	0.2176518736
35	0.2175979778
36	0.2161613971
37	0.215697107
38	0.2151648527
39	0.2146256558
40	0.2135093702
41	0.212878601
42	0.2124281825
43	0.2120577283
44	0.2116841401
45	0.2111748752
46	0.2106206837
47	0.2104179267
48	0.2099197977
49	0.2097373615
