iter	Passed	Remaining
0	5	259
1	10	262
2	16	251
3	20	234
4	25	229
5	30	226
6	35	217
7	39	209
8	44	203
9	49	198
10	54	192
11	58	186
12	64	182
13	69	177
14	73	172
15	78	166
16	83	161
17	88	156
18	92	151
19	97	145
20	101	140
21	106	135
22	112	131
23	116	126
24	121	121
25	126	116
26	131	112
27	136	107
28	141	102
29	146	97
30	151	92
31	156	88
32	165	85
33	173	81
34	180	77
35	185	72
36	191	67
37	196	62
38	201	56
39	207	51
40	212	46
41	219	41
42	224	36
43	229	31
44	235	26
45	239	20
46	245	15
47	250	10
48	255	5
49	260	0
