iter	Passed	Remaining
0	5	5188
1	9	4775
2	14	4807
3	18	4692
4	22	4497
5	26	4406
6	30	4274
7	34	4245
8	37	4163
9	41	4109
10	45	4082
11	49	4040
12	52	4013
13	56	3994
14	60	3968
15	63	3933
16	67	3919
17	72	3960
18	77	3981
19	81	3983
20	86	4035
21	90	4030
22	94	4034
23	99	4055
24	103	4039
25	108	4060
26	111	4012
27	115	4014
28	120	4034
29	124	4016
30	128	4031
31	133	4047
32	137	4043
33	141	4033
34	146	4043
35	150	4033
36	155	4034
37	159	4034
38	163	4016
39	167	4030
40	173	4047
41	178	4060
42	182	4058
43	187	4082
44	193	4098
45	196	4080
46	201	4084
47	206	4088
48	210	4089
49	214	4084
50	219	4085
51	224	4087
52	228	4084
53	233	4097
54	238	4094
55	242	4081
56	247	4086
57	251	4083
58	255	4070
59	260	4077
60	264	4077
61	268	4067
62	273	4067
63	277	4056
64	281	4052
65	286	4053
66	290	4049
67	294	4038
68	299	4038
69	303	4026
70	307	4024
71	313	4036
72	320	4067
73	326	4083
74	330	4079
75	334	4071
76	339	4074
77	344	4074
78	348	4066
79	353	4068
80	358	4066
81	362	4056
82	366	4053
83	372	4066
84	378	4069
85	381	4058
86	386	4059
87	391	4060
88	395	4050
89	400	4047
90	405	4049
91	409	4041
92	414	4037
93	419	4038
94	422	4028
95	427	4020
96	431	4019
97	435	4012
98	440	4008
99	445	4005
100	448	3995
101	453	3988
102	458	3990
103	462	3982
104	466	3978
105	470	3970
106	475	3966
107	479	3962
108	484	3959
109	489	3962
110	494	3958
111	498	3954
112	503	3951
113	507	3943
114	512	3940
115	515	3932
116	520	3924
117	524	3922
118	528	3915
119	533	3909
120	537	3907
121	541	3900
122	546	3893
123	550	3886
124	553	3877
125	558	3870
126	562	3863
127	566	3860
128	571	3857
129	575	3850
130	579	3843
131	583	3839
132	587	3831
133	592	3826
134	596	3819
135	600	3812
136	605	3811
137	609	3805
138	613	3799
139	617	3794
140	622	3791
141	626	3783
142	630	3779
143	634	3770
144	638	3763
145	642	3756
146	646	3748
147	650	3745
148	655	3742
149	659	3736
150	663	3731
151	667	3724
152	671	3720
153	677	3719
154	680	3712
155	684	3705
156	689	3699
157	692	3691
158	697	3688
159	701	3681
160	705	3675
161	709	3667
162	712	3660
163	717	3656
164	721	3649
165	725	3643
166	731	3646
167	736	3648
168	741	3647
169	746	3642
170	750	3638
171	754	3634
172	759	3631
173	764	3628
174	768	3623
175	772	3616
176	777	3615
177	781	3610
178	785	3603
179	790	3599
180	793	3592
181	798	3586
182	801	3580
183	805	3573
184	810	3569
185	814	3563
186	818	3558
187	822	3553
188	826	3547
189	830	3541
190	834	3534
191	838	3528
192	842	3523
193	846	3516
194	850	3512
195	855	3507
196	859	3501
197	863	3499
198	868	3496
199	873	3493
200	878	3490
201	883	3489
202	887	3484
203	891	3478
204	896	3475
205	898	3463
206	903	3460
207	907	3453
208	911	3448
209	915	3443
210	919	3437
211	923	3433
212	928	3431
213	932	3426
214	937	3421
215	941	3415
216	945	3410
217	949	3407
218	956	3411
219	964	3421
220	971	3425
221	977	3426
222	983	3427
223	989	3426
224	993	3422
225	1000	3426
226	1005	3425
227	1010	3422
228	1017	3426
229	1023	3428
230	1030	3429
231	1039	3439
232	1045	3440
233	1050	3440
234	1057	3441
235	1061	3435
236	1065	3429
237	1069	3423
238	1072	3416
239	1076	3409
240	1080	3404
241	1084	3397
242	1088	3390
243	1092	3383
244	1096	3378
245	1102	3379
246	1107	3377
247	1111	3370
248	1115	3364
249	1119	3357
250	1123	3351
251	1127	3345
252	1130	3339
253	1134	3332
254	1138	3325
255	1142	3319
256	1146	3313
257	1150	3308
258	1154	3304
259	1158	3297
260	1162	3292
261	1166	3287
262	1170	3280
263	1175	3277
264	1179	3272
265	1184	3267
266	1188	3263
267	1193	3259
268	1197	3253
269	1201	3249
270	1206	3246
271	1211	3241
272	1215	3236
273	1219	3231
274	1223	3226
275	1227	3220
276	1231	3214
277	1235	3208
278	1239	3203
279	1243	3197
280	1247	3191
281	1251	3185
282	1255	3179
283	1258	3174
284	1262	3167
285	1266	3162
286	1271	3158
287	1275	3154
288	1280	3150
289	1284	3145
290	1288	3139
291	1292	3134
292	1296	3128
293	1300	3123
294	1304	3118
295	1308	3113
296	1313	3109
297	1317	3104
298	1321	3099
299	1326	3095
300	1330	3089
301	1334	3085
302	1338	3079
303	1342	3074
304	1347	3070
305	1350	3063
306	1354	3058
307	1359	3053
308	1362	3047
309	1367	3043
310	1370	3037
311	1375	3032
312	1379	3027
313	1382	3021
314	1387	3016
315	1391	3011
316	1395	3005
317	1399	3000
318	1402	2994
319	1406	2989
320	1410	2984
321	1414	2979
322	1419	2974
323	1422	2968
324	1426	2963
325	1430	2957
326	1435	2953
327	1439	2949
328	1443	2944
329	1447	2939
330	1451	2934
331	1456	2929
332	1460	2925
333	1464	2920
334	1469	2916
335	1473	2911
336	1477	2906
337	1481	2901
338	1486	2897
339	1490	2893
340	1494	2887
341	1498	2883
342	1502	2877
343	1506	2873
344	1510	2867
345	1515	2864
346	1521	2862
347	1526	2859
348	1530	2855
349	1534	2850
350	1539	2846
351	1542	2840
352	1546	2834
353	1551	2831
354	1555	2826
355	1559	2821
356	1563	2816
357	1568	2811
358	1572	2807
359	1575	2801
360	1579	2796
361	1583	2790
362	1587	2785
363	1591	2780
364	1595	2775
365	1599	2770
366	1602	2764
367	1606	2759
368	1610	2754
369	1614	2749
370	1619	2745
371	1623	2740
372	1627	2735
373	1631	2730
374	1635	2725
375	1639	2720
376	1643	2715
377	1647	2710
378	1650	2705
379	1654	2699
380	1658	2694
381	1662	2689
382	1666	2684
383	1670	2679
384	1674	2674
385	1678	2670
386	1683	2665
387	1687	2661
388	1691	2656
389	1695	2651
390	1699	2647
391	1703	2642
392	1707	2636
393	1710	2631
394	1714	2626
395	1718	2621
396	1721	2615
397	1725	2610
398	1729	2605
399	1733	2600
400	1737	2596
401	1742	2591
402	1745	2586
403	1749	2581
404	1753	2575
405	1757	2571
406	1761	2566
407	1765	2561
408	1769	2556
409	1773	2551
410	1777	2546
411	1780	2541
412	1785	2537
413	1789	2532
414	1793	2527
415	1796	2522
416	1800	2517
417	1804	2512
418	1808	2507
419	1812	2502
420	1815	2497
421	1819	2492
422	1823	2487
423	1827	2482
424	1831	2477
425	1835	2472
426	1838	2467
427	1842	2462
428	1846	2457
429	1850	2453
430	1854	2448
431	1858	2443
432	1862	2438
433	1866	2433
434	1870	2428
435	1874	2424
436	1878	2420
437	1883	2416
438	1888	2412
439	1893	2409
